model,siren_class,snr_bin,snr_bin_left,snr_bin_right,snr_bin_center,group_count,seg_precision_mean,seg_precision_std,seg_precision_valid_n,seg_precision_nan_n,seg_f1_mean,seg_f1_std,seg_f1_valid_n,seg_f1_nan_n,seg_balanced_accuracy_mean,seg_balanced_accuracy_std,seg_balanced_accuracy_valid_n,seg_balanced_accuracy_nan_n
CLAP unified EV,hi-lo,"[-54.0, -48.0)",-54.0,-48.0,-51.0,1,,,0,1,,,0,1,0.5,,1,0
CLAP unified EV,hi-lo,"[-48.0, -42.0)",-48.0,-42.0,-45.0,4,1.0,,1,3,0.0547945205479452,,1,3,0.5035211267605634,0.007042253521126752,4,0
CLAP unified EV,hi-lo,"[-42.0, -36.0)",-42.0,-36.0,-39.0,14,0.8333333333333334,0.408248290463863,6,8,0.058912615274420245,0.05688650671590187,6,8,0.5022016537466388,0.02234847528492694,14,0
CLAP unified EV,hi-lo,"[-36.0, -30.0)",-36.0,-30.0,-33.0,18,0.5714285714285714,0.5345224838248488,7,11,0.04418413260404792,0.049984450471146205,7,11,0.4957728709978791,0.02797985184991552,18,0
CLAP unified EV,hi-lo,"[-30.0, -24.0)",-30.0,-24.0,-27.0,20,0.7133333333333333,0.4298147749214081,10,10,0.09071759283392321,0.0803574598888275,10,10,0.49731528228841226,0.051245953478053344,20,0
CLAP unified EV,hi-lo,"[-24.0, -18.0)",-24.0,-18.0,-21.0,30,0.9408163265306124,0.1511375717605243,21,9,0.11932513263513433,0.0722103079856623,21,9,0.5176225640921127,0.025363832244367442,30,0
CLAP unified EV,hi-lo,"[-18.0, -12.0)",-18.0,-12.0,-15.0,31,0.9853063603063603,0.04458267156827549,28,3,0.2659215138297551,0.18065621221164796,28,3,0.5703945210053422,0.07286580186484166,31,0
CLAP unified EV,hi-lo,"[-12.0, -6.0)",-12.0,-6.0,-9.0,13,0.9871794871794872,0.046225016352102424,13,0,0.4680963534577358,0.18377223161800815,13,0,0.6592476814066459,0.08304395318808686,13,0
CLAP unified EV,hi-lo,"[-6.0, 0.0)",-6.0,0.0,-3.0,8,1.0,0.0,8,0,0.5533340049209549,0.24223268413903948,8,0,0.7082300038638283,0.11646217016207054,8,0
CLAP unified EV,hi-lo,"[0.0, 6.0)",0.0,6.0,3.0,3,1.0,0.0,3,0,0.40513777267508605,0.2676361947100977,3,0,0.6394716394716394,0.11181157440325426,3,0
CLAP unified EV,hi-lo,"[6.0, 12.0)",6.0,12.0,9.0,1,1.0,,1,0,0.7454545454545455,,1,0,0.7971014492753623,,1,0
CLAP unified EV,hi-lo,"[12.0, 18.0)",12.0,18.0,15.0,0,,,0,0,,,0,0,,,0,0
EPANNs finetuned AS-EV v2,hi-lo,"[-54.0, -48.0)",-54.0,-48.0,-51.0,1,0.3333333333333333,,1,0,0.0519480519480519,,1,0,0.4789967877440079,,1,0
EPANNs finetuned AS-EV v2,hi-lo,"[-48.0, -42.0)",-48.0,-42.0,-45.0,4,0.9119047619047619,0.11210721301898623,3,1,0.1810367211140235,0.1000922167866013,3,1,0.5082881087012714,0.03648810112782451,4,0
EPANNs finetuned AS-EV v2,hi-lo,"[-42.0, -36.0)",-42.0,-36.0,-39.0,14,0.8020455960161842,0.2878729454351186,12,2,0.12780488467230422,0.07834056408976084,12,2,0.5038632470718544,0.02640966702153909,14,0
EPANNs finetuned AS-EV v2,hi-lo,"[-36.0, -30.0)",-36.0,-30.0,-33.0,18,0.7666666666666667,0.30803467589222516,15,3,0.09523059123940388,0.06956433773349069,15,3,0.5001459227629784,0.030072640296595583,18,0
EPANNs finetuned AS-EV v2,hi-lo,"[-30.0, -24.0)",-30.0,-24.0,-27.0,20,0.7286444803607275,0.2926857544686583,19,1,0.18107310793762957,0.13977052111620172,19,1,0.4998503213540545,0.05698397876312582,20,0
EPANNs finetuned AS-EV v2,hi-lo,"[-24.0, -18.0)",-24.0,-18.0,-21.0,30,0.9189510930541614,0.12407333437405973,30,0,0.18569925083645744,0.13896457326345044,30,0,0.5288448388114798,0.054404708325151784,30,0
EPANNs finetuned AS-EV v2,hi-lo,"[-18.0, -12.0)",-18.0,-12.0,-15.0,31,0.8660280256621313,0.17090194157739214,31,0,0.3819882243661011,0.1677798994625788,31,0,0.571883983247607,0.0951098692332635,31,0
EPANNs finetuned AS-EV v2,hi-lo,"[-12.0, -6.0)",-12.0,-6.0,-9.0,13,0.9577092842605754,0.07228789898558213,13,0,0.6639346076863867,0.11398860470140693,13,0,0.7297065064732376,0.07744304815453658,13,0
EPANNs finetuned AS-EV v2,hi-lo,"[-6.0, 0.0)",-6.0,0.0,-3.0,8,0.9751020524033392,0.039971080447780145,8,0,0.7881869808802809,0.12474669664649501,8,0,0.8020669901089928,0.08918225249913513,8,0
EPANNs finetuned AS-EV v2,hi-lo,"[0.0, 6.0)",0.0,6.0,3.0,3,0.9408602150537635,0.10243311227557873,3,0,0.7527052115619149,0.14135209599924228,3,0,0.7842729428936325,0.09701095109558101,3,0
EPANNs finetuned AS-EV v2,hi-lo,"[6.0, 12.0)",6.0,12.0,9.0,1,1.0,,1,0,0.3857142857142857,,1,0,0.6194690265486725,,1,0
EPANNs finetuned AS-EV v2,hi-lo,"[12.0, 18.0)",12.0,18.0,15.0,0,,,0,0,,,0,0,,,0,0
EPANNs unified EV,hi-lo,"[-54.0, -48.0)",-54.0,-48.0,-51.0,1,0.5,,1,0,0.3826086956521738,,1,0,0.4585010060362172,,1,0
EPANNs unified EV,hi-lo,"[-48.0, -42.0)",-48.0,-42.0,-45.0,4,0.9108527131782945,0.16315941999883093,4,0,0.23045012134959447,0.21070712768978228,4,0,0.5133915169109856,0.11910807896742406,4,0
EPANNs unified EV,hi-lo,"[-42.0, -36.0)",-42.0,-36.0,-39.0,14,0.85302211780106,0.14207167400433174,14,0,0.32947034301187583,0.17169086228194017,14,0,0.5104700115767785,0.10778958944323895,14,0
EPANNs unified EV,hi-lo,"[-36.0, -30.0)",-36.0,-30.0,-33.0,18,0.7924921178077894,0.12104791390978831,18,0,0.3916964889802557,0.16593945174426286,18,0,0.49024079463912723,0.07463917842944459,18,0
EPANNs unified EV,hi-lo,"[-30.0, -24.0)",-30.0,-24.0,-27.0,20,0.6607305947163598,0.15592261463025733,20,0,0.3402270110525301,0.17476471498441465,20,0,0.4677574335816441,0.07829730584217495,20,0
EPANNs unified EV,hi-lo,"[-24.0, -18.0)",-24.0,-18.0,-21.0,30,0.787273115616322,0.1749314893184089,30,0,0.46039744719069015,0.213327988469201,30,0,0.4829533017526289,0.11445921508709651,30,0
EPANNs unified EV,hi-lo,"[-18.0, -12.0)",-18.0,-12.0,-15.0,31,0.8018730827281952,0.12673820194108218,31,0,0.4918606996436864,0.2091227776921975,31,0,0.5470039307015127,0.08801722763546235,31,0
EPANNs unified EV,hi-lo,"[-12.0, -6.0)",-12.0,-6.0,-9.0,13,0.8834586755777909,0.10167926331525405,13,0,0.7014625461307676,0.14636895753539003,13,0,0.6664738273307547,0.11405304252169188,13,0
EPANNs unified EV,hi-lo,"[-6.0, 0.0)",-6.0,0.0,-3.0,8,0.8159136096712537,0.12022533428300054,8,0,0.8071024433843212,0.0927638642943421,8,0,0.6039970139910693,0.12686635456989945,8,0
EPANNs unified EV,hi-lo,"[0.0, 6.0)",0.0,6.0,3.0,3,0.66242919252628,0.20758999206342074,3,0,0.6996336996336997,0.1641315875694839,3,0,0.6162701489801201,0.0883732172345627,3,0
EPANNs unified EV,hi-lo,"[6.0, 12.0)",6.0,12.0,9.0,1,0.9310344827586208,,1,0,0.943231441048035,,1,0,0.7425819885476315,,1,0
EPANNs unified EV,hi-lo,"[12.0, 18.0)",12.0,18.0,15.0,0,,,0,0,,,0,0,,,0,0
CLAP unified EV,phaser,"[-54.0, -48.0)",-54.0,-48.0,-51.0,0,,,0,0,,,0,0,,,0,0
CLAP unified EV,phaser,"[-48.0, -42.0)",-48.0,-42.0,-45.0,6,0.6666666666666666,,1,5,0.0784313725490196,,1,5,0.4995039682539682,0.0012150246739996106,6,0
CLAP unified EV,phaser,"[-42.0, -36.0)",-42.0,-36.0,-39.0,12,1.0,0.0,2,10,0.0435262925320371,0.01593568088400971,2,10,0.5018567690294774,0.00451450675988344,12,0
CLAP unified EV,phaser,"[-36.0, -30.0)",-36.0,-30.0,-33.0,17,0.6090909090909091,0.41610154513984754,5,12,0.06338983586066772,0.06166146366693675,5,12,0.48987467150929603,0.02796204921933534,17,0
CLAP unified EV,phaser,"[-30.0, -24.0)",-30.0,-24.0,-27.0,27,0.8890625,0.2712576803828173,16,11,0.10740973863654339,0.07956079603660776,16,11,0.5090731009687531,0.03194750437894056,27,0
CLAP unified EV,phaser,"[-24.0, -18.0)",-24.0,-18.0,-21.0,19,0.9926108374384236,0.02764771468059563,14,5,0.2397805136310687,0.2659044224642554,14,5,0.5582524314756718,0.09007974823495835,19,0
CLAP unified EV,phaser,"[-18.0, -12.0)",-18.0,-12.0,-15.0,25,0.9417196389179149,0.1911285765835275,22,3,0.30578220652434857,0.26321247960783073,22,3,0.5770844445796783,0.1280925702613199,25,0
CLAP unified EV,phaser,"[-12.0, -6.0)",-12.0,-6.0,-9.0,14,0.9849624060150377,0.04106759300294221,13,1,0.5377630663481113,0.25378215153939104,13,1,0.6837128364959743,0.13554295545973352,14,0
CLAP unified EV,phaser,"[-6.0, 0.0)",-6.0,0.0,-3.0,15,1.0,0.0,13,2,0.6187060970107277,0.30248814235070315,13,2,0.7205411927181488,0.16729190937387606,15,0
CLAP unified EV,phaser,"[0.0, 6.0)",0.0,6.0,3.0,7,0.9920634920634921,0.019440394783993453,6,1,0.7896076230740906,0.23482486343650583,6,1,0.7972362846395351,0.1934728765891058,7,0
CLAP unified EV,phaser,"[6.0, 12.0)",6.0,12.0,9.0,1,0.9655172413793104,,1,0,0.5773195876288659,,1,0,0.6642156862745098,,1,0
CLAP unified EV,phaser,"[12.0, 18.0)",12.0,18.0,15.0,0,,,0,0,,,0,0,,,0,0
EPANNs finetuned AS-EV v2,phaser,"[-54.0, -48.0)",-54.0,-48.0,-51.0,0,,,0,0,,,0,0,,,0,0
EPANNs finetuned AS-EV v2,phaser,"[-48.0, -42.0)",-48.0,-42.0,-45.0,6,0.7423663324979115,0.21095917286418367,6,0,0.1614779613531732,0.08817757185835323,6,0,0.4706470921951076,0.0790257550640506,6,0
EPANNs finetuned AS-EV v2,phaser,"[-42.0, -36.0)",-42.0,-36.0,-39.0,12,0.5951879699248119,0.35952379836155574,10,2,0.10558140917356888,0.1027178686611912,10,2,0.48110577563123985,0.04433306854261897,12,0
EPANNs finetuned AS-EV v2,phaser,"[-36.0, -30.0)",-36.0,-30.0,-33.0,17,0.7352680388394673,0.3031547361007021,14,3,0.13938200845725443,0.10883718942462062,14,3,0.49623553522284214,0.055393486504963084,17,0
EPANNs finetuned AS-EV v2,phaser,"[-30.0, -24.0)",-30.0,-24.0,-27.0,27,0.8459728244877985,0.2327992858941853,25,2,0.25670234341652226,0.15322813848713002,25,2,0.5397157760516575,0.06587016983146589,27,0
EPANNs finetuned AS-EV v2,phaser,"[-24.0, -18.0)",-24.0,-18.0,-21.0,19,0.864616778570267,0.23067404592285692,19,0,0.4182949838988557,0.21765559960957695,19,0,0.6093884776914495,0.09062385169187596,19,0
EPANNs finetuned AS-EV v2,phaser,"[-18.0, -12.0)",-18.0,-12.0,-15.0,25,0.942079787209278,0.12966976950857376,25,0,0.5754015962403656,0.2560914419244893,25,0,0.6916071038372641,0.14737325598736833,25,0
