model,snr_bin,snr_bin_left,snr_bin_right,snr_bin_center,seg_precision_mean,seg_precision_std,seg_precision_valid_n,seg_precision_nan_n,seg_f1_mean,seg_f1_std,seg_f1_valid_n,seg_f1_nan_n,seg_balanced_accuracy_mean,seg_balanced_accuracy_std,seg_balanced_accuracy_valid_n,seg_balanced_accuracy_nan_n
CLAP unified EV,"[-54.0, -48.0)",-54.0,-48.0,-51.0,0.0,0.0,2,2,0.0,0.0,2,2,0.4760714285714286,0.033110436729348096,4,0
CLAP unified EV,"[-48.0, -42.0)",-48.0,-42.0,-45.0,0.7222222222222222,0.36851386559504445,6,25,0.057041224638784194,0.035309870714026415,6,25,0.49472856537271426,0.02954867347174797,31,0
CLAP unified EV,"[-42.0, -36.0)",-42.0,-36.0,-39.0,0.8636363636363636,0.3992934531243769,22,48,0.06675601744623173,0.07924892804245082,22,48,0.5029661648186987,0.020878641173062623,70,0
CLAP unified EV,"[-36.0, -30.0)",-36.0,-30.0,-33.0,0.7908057851239669,0.3985947798950035,44,84,0.06436729367094086,0.09366445709061434,44,84,0.5012870183931624,0.026121932026347407,128,0
CLAP unified EV,"[-30.0, -24.0)",-30.0,-24.0,-27.0,0.8610914662894862,0.32168492353942646,101,67,0.10060353041841882,0.08923618524647413,101,67,0.508953835735635,0.034945087727879964,168,0
CLAP unified EV,"[-24.0, -18.0)",-24.0,-18.0,-21.0,0.9510112465334495,0.16635005200071312,139,48,0.16929546844045734,0.1557796891085413,139,48,0.5335037786212742,0.05275347136087299,187,0
CLAP unified EV,"[-18.0, -12.0)",-18.0,-12.0,-15.0,0.9644744005976575,0.1332879309583151,143,22,0.31044752768833184,0.23416291991875496,143,22,0.5838881665064387,0.10213838748891639,165,0
CLAP unified EV,"[-12.0, -6.0)",-12.0,-6.0,-9.0,0.9829979317838672,0.06878148528001367,111,6,0.4735592691595458,0.2887845581536635,111,6,0.6656720337566375,0.1412966742456855,117,0
CLAP unified EV,"[-6.0, 0.0)",-6.0,0.0,-3.0,0.9871556524916741,0.05391710887340013,90,4,0.6019779656207637,0.2783674686598713,90,4,0.7243366236503018,0.15528123330956203,94,0
CLAP unified EV,"[0.0, 6.0)",0.0,6.0,3.0,0.995195001077354,0.017596156033691034,30,1,0.68586769031786,0.3266373359923706,30,1,0.787865008215833,0.17983783871261033,31,0
CLAP unified EV,"[6.0, 12.0)",6.0,12.0,9.0,0.991108219475168,0.014079197684821272,6,0,0.8256969586046097,0.13108340891449927,6,0,0.8516055508332973,0.0974703199048784,6,0
CLAP unified EV,"[12.0, 18.0)",12.0,18.0,15.0,,,0,0,,,0,0,,,0,0
EPANNs finetuned AS-EV v2,"[-54.0, -48.0)",-54.0,-48.0,-51.0,0.6458333333333333,0.4434124302873492,4,0,0.0537138205058861,0.0263151460090403,4,0,0.49242256205496543,0.03424441600559456,4,0
