segment_id,audio_duration,num_inferences,num_gt_events,num_detected,seg_precision,seg_recall,seg_f1,seg_accuracy,seg_balanced_accuracy,seg_error_rate,seg_deletion_rate,seg_insertion_rate,evt_precision,evt_recall,evt_f1,evt_error_rate,evt_deletion_rate,evt_insertion_rate,throughput,cpu_mean,ram_mean_mb
uZuEn8mguGE_10000,10.0,20,1,3,1.0,0.25,0.4,0.25,0.125,0.75,0.75,0.0,0.0,0.0,0.0,3.999999999999999,0.9999999999999998,2.9999999999999996,0.9522704045747564,682.1171428571429,3556.615625
dIUthrXjhGM_30000,10.0,20,1,3,1.0,0.25,0.4,0.25,0.125,0.75,0.75,0.0,0.0,0.0,0.0,3.999999999999999,0.9999999999999998,2.9999999999999996,0.9522758224940275,665.364761904762,3600.411569940476
XHD0sLHWEUU_30000,10.0,20,1,1,1.0,0.5,0.6666666666666666,0.85,0.75,0.5,0.5,0.0,0.0,0.0,0.0,1.9999999999999996,0.9999999999999998,0.9999999999999998,0.9522768268926572,639.0999999999999,3613.5675223214284
zculW9jrR2g_0,10.0,20,1,4,1.0,0.65,0.787878787878788,0.65,0.325,0.35,0.35,0.0,0.0,0.0,0.0,4.999999999999999,0.9999999999999998,3.999999999999999,0.9522573347758763,693.078095238095,3624.0684151785713
z_sdhRMMvJA_20000,10.0,20,1,2,1.0,0.9,0.9473684210526316,0.9,0.45,0.1,0.1,0.0,0.0,0.0,0.0,2.999999999999999,0.9999999999999998,1.9999999999999996,0.9522631392926114,668.5838095238092,3585.4694568452383
m8t6gPBCxr8_20000,10.0,20,1,3,1.0,0.3,0.4615384615384615,0.3,0.15,0.7,0.7,0.0,0.0,0.0,0.0,3.999999999999999,0.9999999999999998,2.9999999999999996,0.9522695655926962,667.8628571428569,3632.11796875
Y0RTSvdcDuE_10000,10.0,20,1,3,1.0,0.4,0.5714285714285715,0.4,0.2,0.6,0.6,0.0,0.0,0.0,0.0,3.999999999999999,0.9999999999999998,2.9999999999999996,0.9522401469910576,673.8961904761906,3643.1738467261903
mbjOa_msQDw_50000,10.0,20,1,4,1.0,0.7,0.8235294117647058,0.7,0.35,0.3,0.3,0.0,0.0,0.0,0.0,4.999999999999999,0.9999999999999998,3.999999999999999,0.9522540120218181,654.3476190476192,3647.397507440476
mgF-ieQ7rV4_30000,10.0,20,1,4,1.0,0.75,0.8571428571428571,0.75,0.375,0.25,0.25,0.0,0.0,0.0,0.0,4.999999999999999,0.9999999999999998,3.999999999999999,0.9522920986335989,659.5333333333334,3648.094605654762
8uBHEGhU5nU_10000,10.0,20,1,3,1.0,0.85,0.9189189189189189,0.85,0.425,0.15,0.15,0.0,0.0,0.0,0.0,3.999999999999999,0.9999999999999998,2.9999999999999996,0.9522822752575676,649.3800000000001,3652.1536086309525
GjKctchIsAg_10000,9.2719375,19,1,2,1.0,0.6842105263157895,0.8125000000000001,0.6842105263157895,0.34210526315789475,0.3157894736842105,0.3157894736842105,0.0,0.5,1.0,0.6666666666666666,0.9999999999999998,0.0,0.9999999999999998,0.9270466869261467,678.8580000000001,3665.80484375
0bnVue36sUs_10000,10.0,20,1,4,1.0,0.6,0.7499999999999999,0.6,0.3,0.4,0.4,0.0,0.0,0.0,0.0,4.999999999999999,0.9999999999999998,3.999999999999999,0.9522868790452963,664.4438095238096,3674.1999255952383
zJhW4B55Fn4_40000,10.0,20,1,1,1.0,0.8,0.888888888888889,0.8,0.4,0.2,0.2,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9522764041310643,654.6257142857145,3694.2403273809523
